retention_factor,food_code_org,food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
151,UK-14-369,E518,"Orange juice, freshly squeezed",ukfct,140,33,8.1,0.6,Tr,8.1,N,Tr,Tr,Tr,0.0,12,22,12,2,180,0.30,Tr,Tr,NA,0.10,NA,Tr,0,0.35,NA,NA,,NA,28,0.08,0.02,0.2,0.27,0.05,1.0,28,48,55
,UK-13-878,G526,"Oregano, dried, ground",ukfct,N,N,N,9.0,4.3,4.1,42.5,1550,720,1370,0.0,1597,148,270,25,1260,36.80,0.63,5,NA,4.99,NA,2.7,0,N,NA,NA,,NA,237,0.18,0.53,4.6,0.92,1.04,N,237,2,1021
,UK-13-879,G545,Paprika,ukfct,N,N,N,14.1,12.9,10.3,34.9,2140,1700,7770,0.0,229,314,178,68,2280,21.14,0.71,6,NA,1.59,NA,4.3,0,N,NA,NA,,NA,49,0.33,1.23,10.1,2.51,2.14,N,49,1,29553
381,UK-11-716,A507,"Pasta, white, dried, raw",ukfct,1461,343,75.6,11.3,1.6,2.1,N,230,180,650,0.0,24,179,47,2,232,1.59,0.30,22,NA,0.77,NA,1.2,0,0.30,NA,NA,0.21,NA,19,0.17,0.03,3.3,0.80,0.14,1.0,19,0,0
151,UK-14-189,E508,"Peaches, canned in syrup, whole contents",ukfct,233,55,14.0,0.5,Tr,14.0,N,Tr,Tr,Tr,0.0,3,11,5,4,110,0.20,Tr,Tr,NA,Tr,NA,Tr,0,N,NA,NA,,NA,7,0.01,0.01,0.6,0.05,0.02,0.1,7,5,75
504,UK-14-892,B504,"Peanut butter, smooth",ukfct,2514,607,13.1,22.8,51.8,6.7,6.6,12780,19910,16840,0.0,37,330,180,350,700,2.10,0.70,3,NA,1.70,NA,3.0,0,4.99,NA,NA,,NA,53,0.17,0.09,12.5,1.56,0.58,94.0,53,0,0
504,UK-14-878,B505,"Peanuts, dry roasted",ukfct,2444,590,10.3,25.7,49.8,3.8,7.6,8900,22800,15500,0.0,52,420,190,790,730,2.10,0.64,3,NA,2.20,NA,3.3,0,1.11,NA,NA,0.31,NA,44,0.18,0.13,13.1,1.59,0.54,130.0,44,0,0
151,UK-14-197,E509,"Pears, canned in juice, whole contents",ukfct,141,33,8.5,0.3,Tr,8.5,N,Tr,Tr,Tr,0.0,6,10,5,3,81,0.20,Tr,Tr,NA,Tr,NA,0.1,0,Tr,NA,NA,,NA,4,0.01,0.01,0.2,0.04,0.03,0.2,4,3,Tr
,UK-13-881,G527,"Pepper, white",ukfct,N,N,N,10.4,2.1,N,26.2,630,790,620,0.0,270,180,90,5,73,14.30,0.91,3,NA,4.30,NA,1.1,0,N,NA,NA,,NA,10,0.02,0.13,0.2,N,0.10,N,10,21,Tr
3776,UK-17-718,D506,"Pickle, sweet",ukfct,476,111,28.0,0.6,0.1,24.6,1.2,Tr,Tr,Tr,0.0,15,12,6,1130,94,0.60,Tr,N,NA,0.15,NA,0.1,0,N,NA,NA,,NA,Tr,0.03,0.01,0.1,N,0.01,Tr,Tr,Tr,250
,UK-14-286,V509,"Pineapple juice, unsweetened",ukfct,177,41,10.5,0.3,0.1,10.5,Tr,Tr,Tr,Tr,0.0,8,1,6,8,53,0.20,0.02,Tr,NA,0.70,NA,0.1,0,0.03,NA,NA,,NA,8,0.06,0.01,0.1,0.07,0.05,Tr,8,11,8
,UK-11-1016,X513,"Pizza base, raw",ukfct,1229,290,57.5,7.8,4.8,3.4,2.5,N,N,N,N,86,85,18,400,124,1.55,0.09,N,NA,0.45,NA,0.7,N,N,NA,NA,,NA,8,0.41,0.03,1.7,N,0.03,N,8,0,N
352,UK-11-788,A508,"Porridge oats, unfortified",ukfct,1614,381,70.7,10.9,8.1,0.3,7.8,1280,3110,3190,0.3,50,387,114,1,372,3.64,0.37,3,NA,3.66,NA,2.3,0,0.59,NA,NA,,NA,32,1.05,0.05,0.8,0.75,0.34,19.0,32,0,0
2203,UK-14-842,H518,Pumpkin seeds,ukfct,2345,565,15.2,24.4,45.6,1.1,N,7000,11200,21710,0.0,39,850,270,18,820,10.00,1.57,6,NA,N,NA,6.6,0,N,NA,NA,,NA,N,0.23,0.32,1.7,N,N,N,N,0,230
151,UK-14-249,E505,"Redcurrants, raw",ukfct,89,21,4.4,1.1,Tr,4.4,,N,N,N,0.0,36,30,13,2,280,1.20,0.12,N,NA,0.20,NA,0.2,0,0.10,NA,NA,,NA,N,0.04,0.06,0.1,0.06,0.05,2.6,N,40,25
,UK-13-882,G525,"Rosemary, dried",ukfct,1387,331,46.4,4.9,15.2,N,42.6,7370,3010,2340,0.0,1280,70,220,50,950,29.30,0.55,5,NA,1.87,NA,3.2,0,N,NA,NA,,NA,307,0.51,0.43,1.0,N,1.74,N,307,61,1880
,UK-13-852,G529,Saffron,ukfct,1298,310,61.5,11.4,5.9,42.4,,N,N,N,0.0,110,250,N,150,1720,11.10,0.33,N,NA,28.40,NA,N,0,N,NA,NA,,NA,0,N,N,N,N,N,N,0,0,N
,UK-11-023,I508,"Sago, raw",ukfct,1515,355,94.0,0.2,0.2,Tr,,100,100,Tr,0.0,10,29,3,3,5,1.20,0.03,N,NA,N,NA,N,0,Tr,NA,NA,,NA,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,0,0
,UK-19-517,O503,Salami,ukfct,1814,438,0.5,20.9,39.2,0.5,0.4,14600,17700,4400,83.0,11,170,18,1530,320,1.30,0.12,7,NA,0.04,NA,3.0,Tr,0.23,NA,NA,1.11,NA,3,0.60,0.23,5.6,1.66,0.36,7.0,3,N,Tr
,UK-17-367,G528,Salt,ukfct,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,10,1,76,39300,89,0.30,0.08,N,NA,Tr,NA,0.1,0,0.00,NA,NA,,NA,0,0.00,0.00,0.0,0.00,0.00,0.0,0,0,0
,UK-17-627,X500,"Sauces, Indian cook in, other",ukfct,282,67,8.7,1.4,3.2,6.1,2.5,500,1240,1280,N,33,32,18,300,236,1.02,0.09,1,NA,0.29,NA,0.2,0,2.34,NA,NA,,NA,11,0.03,0.03,0.8,0.31,0.08,3.2,11,3,384
1655,UK-19-657,O504,"Sausages, premium, raw",ukfct,1053,254,2.6,13.8,21.0,1.5,0.5,8170,8330,3480,63.0,160,160,14,500,190,1.00,0.06,N,NA,0.14,NA,1.2,Tr,0.90,NA,NA,,NA,7,0.05,0.11,3.0,0.84,0.16,3.0,7,14,Tr
,UK-14-844,G513,Sesame seeds,ukfct,2470,598,0.9,18.2,58.0,0.4,N,10480,22070,25500,0.0,670,720,370,20,570,10.40,1.46,N,NA,1.50,NA,5.3,0,2.53,NA,NA,,NA,97,0.93,0.17,5.0,2.14,0.75,11.0,97,0,6
3776,UK-13-342,G546,"Shallots, raw",ukfct,86,20,3.3,1.5,0.2,3.3,,Tr,Tr,100,0.0,24,50,4,10,180,0.80,0.05,1,NA,0.10,NA,0.4,0,0.31,NA,NA,,NA,17,0.04,0.06,0.6,0.11,0.20,0.9,17,13,N
,UK-17-721,X501,"Soy sauce, light and dark varieties",ukfct,337,79,17.9,3.0,Tr,16.4,Tr,0,0,0,0.0,17,47,37,5500,180,2.40,0.01,N,NA,0.18,NA,0.2,0,N,NA,NA,,NA,11,0.05,0.13,3.4,N,N,N,11,0,0
,UK-17-247,K502,"Spirits, 40% volume",ukfct,919,222,Tr,Tr,0.0,Tr,0.0,0,0,0,0.0,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,NA,Tr,NA,Tr,0,0.00,NA,NA,Tr,NA,0,0.00,0.00,0.0,0.00,0.00,0.0,0,0,0
3776,UK-13-352,G547,"Spring onions, bulbs and tops, raw",ukfct,98,23,3.0,2.0,0.5,2.8,N,100,100,200,0.0,39,29,12,7,260,1.90,0.06,N,NA,0.20,NA,0.4,0,N,NA,NA,,NA,54,0.05,0.03,0.5,0.07,0.13,N,54,26,620
3776,UK-13-351,G501,"Spring onions, bulbs only, raw",ukfct,151,35,8.5,0.9,Tr,8.5,,Tr,Tr,Tr,0.0,140,24,11,13,230,1.20,N,N,NA,N,NA,N,0,N,NA,NA,,NA,17,0.13,Tr,0.7,0.11,0.20,0.9,17,25,Tr
,UK-17-726,K506,"Stock cubes, chicken",ukfct,N,N,N,15.4,15.4,N,0.6,N,N,N,Tr,120,200,47,16300,400,4.90,0.10,N,NA,0.27,NA,1.2,N,N,NA,NA,,NA,N,N,N,N,N,N,N,N,0,N
,UK-17-727,K507,"Stock cubes, vegetable",ukfct,N,N,N,13.5,17.3,N,1.8,N,N,N,0.0,47,120,44,16800,390,2.80,0.05,N,NA,0.26,NA,0.4,0,N,NA,NA,,NA,N,N,N,N,N,N,N,N,0,N
,UK-17-060,I503,"Sugar, brown",ukfct,1623,380,101.3,0.1,0.0,101.3,0.0,0,0,0,0.0,56,4,17,31,140,1.70,0.06,Tr,NA,Tr,NA,0.1,0,0.00,NA,NA,,NA,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,0,0
,UK-17-062,I504,"Sugar, icing",ukfct,1678,393,104.9,Tr,0.0,103.8,0.0,0,0,0,0.0,2,1,Tr,12,11,0.50,0.05,Tr,NA,Tr,NA,0.1,0,0.00,NA,NA,,NA,0,0.00,0.00,0.0,0.00,0.00,0.0,0,0,0
,UK-17-063,I502,"Sugar, white",ukfct,1680,394,105.0,Tr,0.0,105.0,0.0,0,0,0,0.0,10,1,2,5,5,0.20,0.12,Tr,NA,Tr,NA,0.1,0,0.00,NA,NA,,NA,0,0.00,0.00,0.0,0.00,0.00,0.0,0,0,0
151,UK-14-263,E506,Sultanas,ukfct,1171,275,69.4,2.7,0.4,69.4,N,N,N,N,0.0,64,86,31,19,1060,2.20,0.40,N,NA,0.30,NA,0.3,0,0.70,NA,NA,,NA,27,0.09,0.05,0.8,0.09,0.25,4.8,27,Tr,12
3776,UK-13-622,D503,"Sweetcorn, kernels, raw",ukfct,254,60,8.1,3.4,1.8,2.0,N,200,500,700,0.0,3,91,37,1,260,0.70,0.04,Tr,NA,0.20,NA,0.4,0,0.33,NA,NA,,NA,41,0.16,0.05,1.9,0.73,0.02,N,41,8,23
,UK-17-064,I505,"Syrup, corn, dark",ukfct,1181,282,76.6,0.0,0.0,28.1,,0,0,0,0.0,18,11,8,160,44,0.40,Tr,Tr,NA,Tr,NA,Tr,0,0.00,NA,NA,,NA,0,0.01,0.01,0.0,0.02,0.01,0.0,0,0,0
,UK-17-165,V510,"Tea, black, infusion, average",ukfct,2,Tr,Tr,0.1,Tr,Tr,0.0,Tr,Tr,Tr,0.0,Tr,2,2,Tr,27,Tr,0.01,Tr,NA,0.15,NA,Tr,0,N,NA,NA,0.27,NA,3,Tr,0.02,0.0,0.04,Tr,1.0,3,0,0
,UK-17-171,V511,"Tea, green, infusion",ukfct,Tr,Tr,Tr,0.1,0.0,Tr,0.0,0,0,0,0.0,2,1,Tr,1,20,0.10,Tr,Tr,NA,Tr,NA,Tr,0,N,NA,NA,,NA,Tr,0.00,0.02,0.1,Tr,Tr,Tr,Tr,3,0
,UK-13-883,G531,"Thyme, dried, ground",ukfct,1156,276,45.3,9.1,7.4,1.7,37.0,2700,500,1200,0.0,1890,200,220,55,810,123.60,0.86,5,NA,7.87,NA,6.2,0,N,NA,NA,,NA,274,0.51,0.40,4.9,N,0.55,N,274,50,2280
,UK-13-570,B506,"Tofu, soya bean, steamed",ukfct,304,73,0.7,8.1,4.2,0.3,N,500,800,2000,0.0,N,95,23,4,63,1.20,0.20,N,NA,0.40,NA,0.7,0,0.95,NA,NA,,NA,15,0.06,0.02,0.1,0.05,0.07,N,15,0,2
,UK-17-709,X503,Tomato ketchup,ukfct,489,115,28.6,1.6,0.1,27.5,0.9,Tr,Tr,Tr,0.0,13,31,19,800,350,0.30,0.05,N,NA,0.10,NA,0.1,0,N,NA,NA,,NA,1,1.00,0.09,2.1,N,0.03,N,1,2,473
,UK-13-531,X504,Tomato puree,ukfct,287,67,12.9,4.4,0.2,12.9,4.7,40,20,70,0.0,45,94,57,49,1257,1.45,0.41,1,NA,0.34,NA,0.6,0,5.22,NA,NA,,NA,39,0.98,0.12,3.6,0.11,0.28,6.3,39,43,1754
,UK-50-1173,X505,"Tomato sauce, homemade",ukfct,374,89,8.6,2.2,5.5,4.0,,1800,2200,1100,10.0,19,39,10,340,280,0.60,0.03,1,NA,0.10,NA,0.3,26,1.47,NA,NA,,NA,9,0.11,0.02,1.2,0.22,0.14,1.2,9,8,1070
3776,UK-13-519,D502,"Tomatoes, cherry, raw",ukfct,94,22,3.6,1.1,0.5,3.6,1.3,100,100,200,0.0,10,31,12,4,274,0.34,0.05,Tr,NA,0.12,NA,0.2,0,0.89,NA,NA,,NA,24,0.05,0.02,0.4,0.19,0.06,1.8,24,15,479
3456,UK-13-389,F501,"Turnip, flesh only, raw",ukfct,98,23,4.7,0.9,0.3,4.5,,Tr,Tr,200,0.0,48,41,8,15,280,0.20,0.01,1,NA,0.10,NA,0.1,0,Tr,NA,NA,0.15,NA,14,0.05,0.01,0.4,0.20,0.08,0.1,14,17,20
,UK-17-339,G532,Vinegar,ukfct,89,22,0.6,0.4,0.0,0.6,0.0,0,0,0,0.0,3,10,4,5,34,0.10,0.01,1,NA,0.01,NA,0.1,0,0.00,NA,NA,,NA,0,0.00,0.00,0.0,0.00,0.00,0.0,0,0,0
,UK-11-800,U509,"Wafers, plain ice cream wafers, not filled",ukfct,1565,368,79.7,10.5,3.0,3.5,3.4,590,950,1310,4.1,89,129,28,192,195,2.30,0.12,7,NA,0.92,NA,1.2,0,0.42,NA,NA,,NA,14,0.08,0.02,1.6,0.53,0.04,8.9,14,0,0
,UK-17-377,K505,"Water, distilled",ukfct,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.00,0.00,0,NA,0.00,NA,0.0,0,0.00,NA,NA,,NA,0,0.00,0.00,0.0,0.00,0.00,0.0,0,0,0
3006,UK-13-669,C502,"Watercress, raw",ukfct,43,10,Tr,1.9,0.3,Tr,1.5,90,30,120,0,138,61,16,37,300,0.72,0.05,1,NA,0.34,NA,0.5,0,1.46,NA,NA,315,NA,43,0.16,0.06,0.3,0.1,0.23,0.4,43,62,1589
,UK-17-779,X506,"White sauce, savoury, made with whole milk, homemade",ukfct,660,158,11.6,4.4,10.8,4.9,0.3,6800,2780,350,30.4,136,113,14,105,182,0.18,0.01,1,NA,0.06,NA,0.6,118,0.25,NA,NA,,NA,5,0.04,0.23,0.2,0.52,0.06,2.8,5,1,65
,UK-17-723,X507,Worcestershire sauce,ukfct,480,113,28.3,1.4,0.1,21.5,Tr,Tr,Tr,Tr,0.0,190,31,73,1500,600,10.10,0.21,1,NA,0.98,NA,0.4,0,N,NA,NA,,NA,1,Tr,0.01,0.4,N,N,N,1,0,8
,UK-17-517,G534,Yeast extract,ukfct,763,180,3.5,40.7,0.4,1.6,0.0,N,N,N,0.0,70,950,160,4300,2100,2.90,0.20,N,NA,0.19,NA,2.7,0,N,NA,NA,,NA,2620,4.10,11.90,64.0,N,1.60,N,2620,0,0
,UK-12-184,L520,"Yogurt, whole milk, plain",ukfct,333,79,7.8,5.7,3.0,7.8,0.0,1910,790,100,11.0,200,170,19,80,280,0.10,Tr,2,NA,Tr,NA,0.7,28,0.05,NA,NA,,NA,18,0.06,0.27,0.2,0.50,0.10,2.6,18,1,21
