retention_factor,Retention Description,usda_rf_calcium,usda_rf_iron,usda_rf_magnesium,usda_rf_phosphorus,usda_rf_potassium,usda_rf_sodium,usda_rf_zinc,usda_rf_copper,usda_rf_vitc,usda_rf_vitb1,usda_rf_vitb2,usda_rf_vitb3,usda_rf_vitb6,usda_rf_folate_food,usda_rf_vitb9,usda_rf_folate_total,usda_rf_choline,usda_rf_vitb12,usda_rf_vita_iu,usda_rf_vita_re,usda_rf_alcohol,usda_rf_carotene_beta,usda_rf_carotene_alpha,usda_rf_cryptoxanthin,usda_rf_lycopene,usda_rf_lutein
1407,"PORK,FRESH,REHEATED",100,100,100,100,100,100,100,100,95,95,100,100,95,95,95,95,100,95,100,100,100,100,100,100,100,100
1451,"PORK,CURED,BROILED",75,80,95,90,85,90,100,95,80,70,100,80,65,85,85,85,100,90,75,75,100,75,75,75,75,75
1456,"BACON,BROILED/FRIED",75,80,95,90,85,90,100,95,80,45,95,90,80,80,80,80,80,90,65,65,100,65,65,65,65,65
1459,"PORK,CURED,ROASTED",95,100,75,85,80,80,100,100,80,60,95,85,85,95,95,95,100,80,75,75,100,75,75,75,75,75
1521,"HAM/PICNIC,CURED,SIMMERED,WO/DRIP",80,100,65,65,75,70,100,100,75,40,75,80,50,65,65,65,100,60,75,75,100,75,75,75,75,75
1522,"HAM/PICNIC,CURED,SIMMERED,W/DRIP",100,100,100,100,100,100,100,100,80,55,90,95,65,70,70,70,100,75,80,80,100,80,80,80,80,80
1551,"PORK,CURED,SLICE,BRWN,SIMMR,WO/DRIP",80,100,65,65,75,70,100,100,75,40,75,80,50,65,65,65,100,60,75,75,100,75,75,75,75,75
1552,"PORK,CURED,SLICE,BRWN,SIMMRD,W/DRIP",100,100,100,100,100,100,100,100,80,55,90,95,65,70,70,70,100,75,80,80,100,80,80,80,80,80
1555,"PORK,CURED,SLICES,SIMMERED,WO/DRIP",80,100,65,65,75,70,100,100,75,40,75,80,50,65,65,65,100,60,75,75,100,75,75,75,75,75
1556,"PORK,CURED,SLICES,SIMMERED,W/DRIP",100,100,100,100,100,100,100,100,80,55,90,95,65,70,70,70,100,75,80,80,100,80,80,80,80,80
1602,"PORK,CURED,GROUND,BRWN,SIMR,WO/DRIP",80,100,65,65,75,70,100,100,75,40,75,80,50,65,65,65,90,60,75,75,100,75,75,75,75,75
1603,"PORK,CURED,GROUND,BRWN,SIMR,W/DRIP",100,100,100,100,100,100,100,100,80,55,90,95,65,70,70,70,90,75,80,80,100,80,80,80,80,80
1604,"PORK,CURED,GROUND,SIMMERED,WO/DRIP",80,100,65,65,75,70,100,100,75,40,75,80,50,65,65,65,90,60,75,75,100,75,75,75,75,75
1605,"PORK,CURED,GROUND,SIMMERED,W/DRIP",100,100,100,100,100,100,100,100,80,55,90,95,65,70,70,70,90,75,80,80,100,80,80,80,80,80
1606,"PORK,CURED,REHEATED",100,100,100,100,100,100,100,100,95,95,100,100,95,95,95,95,100,95,100,100,100,100,100,100,100,100
1654,"SAUSAGE,RTE,FRANKS,ETC,CKD,WO/DRIP",100,100,95,95,95,95,100,100,80,85,95,90,80,85,85,85,100,85,85,85,100,85,85,85,85,85
1655,"SAUSAGE,RTE,FRANKS,ETC,CKD,W/DRIP",100,100,100,100,100,100,100,100,90,95,100,100,90,95,95,95,100,95,95,95,100,95,95,95,95,95
1657,"SAUSAGE,RTE,FRANKS,ETC,BROILED",100,100,95,95,95,95,100,100,90,95,100,90,90,90,90,90,100,95,85,85,100,85,85,85,85,85
1659,"SAUSAGE,RTE,FRANKS,ETC,SAUTEED",100,100,95,95,95,95,100,100,90,95,100,90,90,90,90,90,100,95,85,85,100,85,85,85,85,85
1705,"SAUSAGE,RAW,PORK,OTHER,CKD,WO/DRIP",85,65,75,75,85,75,75,95,50,65,75,75,60,30,30,30,95,70,75,75,100,75,75,75,75,75
1706,"SAUSAGE,RAW,PORK,OTHER,CKD,W/DRIP",100,100,100,100,100,100,100,100,70,80,90,90,85,50,50,50,95,85,80,85,100,80,80,80,80,80
