Food items,Units,Units,Remarks,Source,,,,,,,,,
"Gourd, white-flowered (calabash), raw",1nos,771g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169232/measures,,,,,,,,,
"Tomato, raw",1cherry,17g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1103276/portions,,,,,,,,,
Coconut,1nos,250g,,,,,,,,,,,
Lemon,1 no,30 g,,,,,,,,,,,
,6 slices,30 g,,,,,,,,,,,
,2 slices,10 g,,,,,,,,,,,
Lemon juice,Half of lemon,3tbsp,,,,,,,,,,,
Orange,1nos,85g,,,,,,,,,,,
,3slices,25.5g,,,,,,,,,,,
Orange juice,1 orange,120ml,,,,,,,,,,,
Apple,1 medium,80g,,BFP manual,,,,,,,,,
Mango,1 medium,200g,,BFP manual,,,,,,,,,
Pear,1 medium,178g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169118/measures,,,,,,,,,
,1small,148g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169118/measures,,,,,,,,,
Peach,1nos,200g,,,,,,,,,,,
Starfruit,1nos,90g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2344723/portions,,,,,,,,,
Grapes,1nos small,4g,,,,,,,,,,,
Banana,1 medium,100g,,,,,,,,,,,
Papaya,1 medium,600g,,,,,,,,,,,
Pineapple,1 slice ,50 g,,,,,,,,,,,
Wood apple,1 medium,400g,,,,,,,,,,,
Palmyra fruit,1 medium,400g,,,,,,,,,,,
Cherry,1nos,6g,,,,,,,,,,,
Black currants,1nos,2g,,,,,,,,,,,
,2nos,4g,,,,,,,,,,,
Olive,1nos,6g,,,,,,,,,,,
Dates,1nos,9g,,,,,,,,,,,
Peanut,1tbsp,,,,,,,,,,,,
Almonds,9 (big) nos,10 g,,,,,,,,,,,
,1nos,1.11g,,,,,,,,,,,
Walnuts,4 halves,10 g,,,,,,,,,,,
,2 nos,5 g,,,,,,,,,,,
,1 nos,2.5 g,,,,,,,,,,,
Pistachio,18 (big) nos,10 g,,,,,,,,,,,
,1nos,0.56g,,,,,,,,,,,
,few,6nos,,,,,,,,,,,
Cashewnut,6 (large) nos,10g,,,,,,,,,,,
,1nos,1.67g,,,,,,,,,,,
,2nos,3.34g,,,,,,,,,,,
Raisin,45nos,10g,,,,,,,,,,,
,1tbsp,10g,,,,,,,,,,,
,4nos,0.89g,,,,,,,,,,,
Sultanas,9nos,10g,,,,,,,,,,,
,1nos,1.11g,,,,,,,,,,,
,2nos,2.22g,,,,,,,,,,,
Groundnut,1handful,35g,,,,,,,,,,,
,1oz,28.35g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172430/measures,,,,,,,,,
,2tbsp,28.35g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172430/measures,,,,,,,,,
Mixed nut,6nos,3.78g,,,,,,,,,,,
Pine seeds,1oz,28.35g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170591/measures,,,,,,,,,
,1tbsp,14.175g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170591/measures,,,,,,,,,
,,,,,,,,,,,,,
Chocolate chips,few,0.5tsp,,,,,,,,,,,
"Drinking chocolate, powder",1sprinkle,0.25tsp,,,,,,,,,,,
Biscuits,2to3nos,20g,,ASC manual,,,,,,,,,
,1nos,8g,,ASC manual,,,,,,,,,
Jaggery,1cup,200g,,,,,,,,,,,
Sugar,1tsp,4.2g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169655/measures,,,,,,,,,
,1cube,2.3g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169655/measures,,,,,,,,,
Powdered sugar,1tbsp,8g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169656/measures,,,,,,,,,
,1tsp,3g,,BFP manual,,,,,,,,,
Honey,1tbsp,15g,,BFP manual,,,,,,,,,
,1tsp,5g,,BFP manual,,,,,,,,,
Jam,2tbsp,40g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169641/measures,,,,,,,,,
,,,,,,,,,,,,,
Sweet potato,1nos,130g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168482/measures,,,,,,,,,
,,,,,,,,,,,,,
Lentils,1tbsp,12g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172420/measures,,,,,,,,,
Kidney beans,1tbsp,11g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173740/measures,,,,,,,,,
"Bread crumbs (Bread, crumbs, dry, grated, plain)",1cup,108g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174928/measures,,,,,,,,,
,,,,,,,,,,,,,
Jam,1cup,224g,,USDA (https://courses.washington.edu/bonephys/calist.pdf),,,,,,,,,
